sensitivity	vocabulary
0.04199040763154628	project
0.03336621865915817	transmission
0.03276963199324528	said
0.030537667241834068	line
0.029765214445034986	city
0.0278416344815467	april
0.02781145497598263	due
0.02754080506059366	cost
0.026031483166931425	contractor
0.024826950826534935	construction
0.024613861879604668	date
0.024471954976226316	workers
0.023861124927633492	costs
0.02354652162716867	strict
0.0235231199683733	another
0.02348433418870621	measures
0.02344359321274349	spread
0.023406649313178374	services
0.02337484714065175	agreement
0.02330836422181417	safety
0.023174294895299742	labor
0.02306424166307228	across
0.02293091730445711	mitigate
0.02283483542845904	previously
0.0227771891855508	miles
0.02264472248676124	electricity
0.02259124536248422	many
0.022554155765027138	rates
0.022513912299575993	bringing
0.022457981807820392	demand
0.02245241989897041	global
0.022438501799104348	central
0.022415813774041546	ultimately
0.022394375338872608	implementation
0.022190819323406316	nearby
0.022164818332184092	approaching
0.022130311259348737	provide
0.022110826779494646	johnson
0.022104096967504403	savings
0.022079221905083123	result
0.022015176250903667	projects
0.02196006975189064	fuel
0.02189449843579131	doubling
0.021891751024911393	expensive
0.021866353065537567	important
0.02184664424399654	leader
0.021841941894753462	approximately
0.021797057686294526	leadership
0.021780078494455967	pool
0.021762898631483132	bring
0.021760375398935303	renewables
0.021727710957685078	communities
0.021723922276882694	structures
0.021723922276882694	outweighed
0.021723922276882694	zambezi
0.021723922276882694	auspices
0.021723922276882694	thunderstorm
0.021723922276882694	stealing
0.021723922276882694	report
0.021723922276882694	fire
0.021723922276882694	interesting
0.021723922276882694	taxes
0.021723922276882694	compassion
0.021723922276882694	po
0.021723922276882694	oppose
0.021723922276882694	et
0.021723922276882694	ecuador
0.021723922276882694	kmp
0.021723922276882694	turkana
0.021723922276882694	kajima
0.021723922276882694	cargolux
0.021723922276882694	vst
0.021723922276882694	tc
0.021723922276882694	shell
0.021723922276882694	denies
0.021723922276882694	button
0.021723922276882694	greco
0.021723922276882694	termination
0.021723922276882694	competes
0.021723922276882694	grants
0.021723922276882694	analysers
0.021723922276882694	configuration
0.021723922276882694	rank
0.021723922276882694	nee
0.021723922276882694	authorise
0.021723922276882694	torn
0.021723922276882694	cant
0.021723922276882694	semco
0.021723922276882694	falling
0.021723922276882694	structured
0.021723922276882694	chakaria
0.021723922276882694	envisaged
0.021723922276882694	organizations
0.021723922276882694	matakong
0.021723922276882694	slhp
0.021723922276882694	recoup
0.021723922276882694	greenpeace
0.021723922276882694	debilitating
0.021723922276882694	chiefly
0.021723922276882694	jaganmohan
0.021723922276882694	sicomines
0.021723922276882694	cape
0.021723922276882694	kpcl
0.021723922276882694	chen
0.021723922276882694	bolts
0.021723922276882694	patil
0.021723922276882694	azima
0.021723922276882694	thermax
0.021723922276882694	eia
0.021723922276882694	show
0.021723922276882694	spending
0.021723922276882694	cent
0.021723922276882694	jostle
0.021723922276882694	medog
0.021723922276882694	competent
0.021723922276882694	whether
0.021723922276882694	anju
0.021723922276882694	ritual
0.021723922276882694	endorsing
0.021723922276882694	conservator
0.021723922276882694	rahmon
0.021723922276882694	tara
0.021723922276882694	robjohns
0.021723922276882694	pickering
0.021723922276882694	foreurs
0.021723922276882694	climb
0.021723922276882694	conventional
0.021723922276882694	manshera
0.021723922276882694	devastated
0.021723922276882694	caracas
0.021723922276882694	geronimo
0.021723922276882694	guests
0.021723922276882694	woldehanna
0.021723922276882694	coffee
0.021723922276882694	steadfast
0.021723922276882694	renaissance
0.021723922276882694	mizuho
0.021723922276882694	violates
0.021723922276882694	kurrum
0.021723922276882694	tempting
0.021723922276882694	rebuilding
0.021723922276882694	farmland
0.021723922276882694	injustices
0.021723922276882694	stgs
0.021723922276882694	bridges
0.021723922276882694	penh
0.021723922276882694	tickets
0.021723922276882694	unsurpassed
0.021723922276882694	retailer
0.021723922276882694	mps
0.021723922276882694	hollow
0.021723922276882694	skyscrapers
0.021723922276882694	thimphu
0.021723922276882694	myingyan
0.021723922276882694	walter
0.021723922276882694	devanadera
0.021723922276882694	kano
0.021723922276882694	leone
0.021723922276882694	haskoning
0.021723922276882694	habib
0.021723922276882694	phasing
0.021723922276882694	ajk
0.021723922276882694	section
0.021723922276882694	allegation
0.021723922276882694	counterproductive
0.021723922276882694	farruggio
0.021723922276882694	worksite
0.021723922276882694	hydraulics
0.021723922276882694	ceará
0.021723922276882694	settings
0.021723922276882694	axens
0.021723922276882694	kilometre
0.021723922276882694	gauge
0.021723922276882694	maturity
0.021723922276882694	legal
0.021723922276882694	edit
0.021723922276882694	monuments
0.021723922276882694	prohibitively
0.021723922276882694	chukiatan
0.021723922276882694	daovong
0.021723922276882694	accurate
0.021723922276882694	possibility
0.021723922276882694	eaeu
0.021723922276882694	tuesday
0.021723922276882694	meals
0.021723922276882694	market
0.021723922276882694	valdi
0.021723922276882694	dahm
0.021723922276882694	index
0.021723922276882694	taiwan
0.021723922276882694	calculated
0.021723922276882694	repatriation
0.021723922276882694	tsu
0.021723922276882694	flatirons
0.021723922276882694	dells
0.021723922276882694	daunting
0.021723922276882694	epe
0.021723922276882694	engelbert
0.021723922276882694	exhibiting
0.021723922276882694	tested
0.021723922276882694	crouse
0.021723922276882694	runways
0.021723922276882694	stabilise
0.021723922276882694	acknowledged
0.021723922276882694	cables
0.021723922276882694	sketch
0.021723922276882694	lianyungang
0.021723922276882694	achievements
0.021723922276882694	youths
0.021723922276882694	iogp
0.021723922276882694	thankful
0.021723922276882694	wishes
0.021723922276882694	enoc
0.021723922276882694	principal
0.021723922276882694	enthusiasm
0.021723922276882694	pupils
0.021723922276882694	stranded
0.021723922276882694	sized
