sensitivity	vocabulary
0.7214335097537441	construction
0.6276130368616947	project
0.5676864495077901	county
0.5479234845581161	development
0.5361075569344375	site
0.5335585214233446	services
0.5333437658098895	addition
0.5306136713044798	generation
0.5291882581800487	central
0.5257364161285804	clean
0.5220166870519413	two
0.5193071635237461	provided
0.5155933842805904	power
0.5141585291195557	well
0.5135395161583803	capacity
0.5082882071812146	value
0.5044798458685409	cdc
0.5042200427411466	supply
0.5040511112669228	organization
0.502030868567217	reduce
0.5018290072480367	fuel
0.5015893205415166	constructed
0.5010421981330943	general
0.4956408933183449	yet
0.4955101835208303	implementation
0.4948884463275051	expensive
0.49484701528582375	jobs
0.49480040604834497	southwest
0.4942204053170731	hired
0.4918188156315611	peak
0.49114829149525113	loading
0.4910357655729315	acres
0.4910000402972916	delivers
0.4907905638591261	many
0.49073317620922213	line
0.4894388975751635	previously
0.4889821684265676	result
0.4867745132085422	cooperative
0.4866203102038672	role
0.48642664428796656	affordable
0.48594250081253654	members
0.4854561271337189	largest
0.4842938590878777	officials
0.4839325595217991	provide
0.4839276485890085	million
0.48374781959734536	territory
0.4828497913639078	ultimately
0.48250883440443015	leadership
0.48243277997937284	another
0.48159076172467924	six
0.4815383787249571	bring
0.4808470020316833	proud
0.4807116281457632	guidelines
0.4807006392919696	financed
0.48051557104232256	upgrades
0.48023595530347174	rates
0.48016723301176323	renewable
0.4801300617691088	management
0.48011275236689316	structures
0.48011275236689316	outweighed
0.48011275236689316	zambezi
0.48011275236689316	auspices
0.48011275236689316	thunderstorm
0.48011275236689316	stealing
0.48011275236689316	report
0.48011275236689316	fire
0.48011275236689316	ecuador
0.48011275236689316	taxes
0.48011275236689316	compassion
0.48011275236689316	po
0.48011275236689316	interesting
0.48011275236689316	et
0.48011275236689316	oppose
0.48011275236689316	kmp
0.48011275236689316	turkana
0.48011275236689316	denies
0.48011275236689316	cargolux
0.48011275236689316	vst
0.48011275236689316	tc
0.48011275236689316	shell
0.48011275236689316	kajima
0.48011275236689316	button
0.48011275236689316	greco
0.48011275236689316	termination
0.48011275236689316	competes
0.48011275236689316	grants
0.48011275236689316	analysers
0.48011275236689316	configuration
0.48011275236689316	rank
0.48011275236689316	nee
0.48011275236689316	authorise
0.48011275236689316	torn
0.48011275236689316	debilitating
0.48011275236689316	semco
0.48011275236689316	cant
0.48011275236689316	chen
0.48011275236689316	structured
0.48011275236689316	chakaria
0.48011275236689316	envisaged
0.48011275236689316	organizations
0.48011275236689316	matakong
0.48011275236689316	falling
0.48011275236689316	patil
0.48011275236689316	recoup
0.48011275236689316	slhp
0.48011275236689316	chiefly
0.48011275236689316	jaganmohan
0.48011275236689316	sicomines
0.48011275236689316	cape
0.48011275236689316	greenpeace
0.48011275236689316	bolts
0.48011275236689316	competent
0.48011275236689316	rahmon
0.48011275236689316	conservator
0.48011275236689316	endorsing
0.48011275236689316	ritual
0.48011275236689316	anju
0.48011275236689316	whether
0.48011275236689316	medog
0.48011275236689316	azima
0.48011275236689316	jostle
0.48011275236689316	cent
0.48011275236689316	spending
0.48011275236689316	show
0.48011275236689316	eia
0.48011275236689316	thermax
0.48011275236689316	tara
0.48011275236689316	dahm
0.48011275236689316	pickering
0.48011275236689316	foreurs
0.48011275236689316	climb
0.48011275236689316	conventional
0.48011275236689316	manshera
0.48011275236689316	devastated
0.48011275236689316	caracas
0.48011275236689316	geronimo
0.48011275236689316	guests
0.48011275236689316	woldehanna
0.48011275236689316	coffee
0.48011275236689316	steadfast
0.48011275236689316	renaissance
0.48011275236689316	mizuho
0.48011275236689316	violates
0.48011275236689316	kurrum
0.48011275236689316	tempting
0.48011275236689316	rebuilding
0.48011275236689316	farmland
0.48011275236689316	injustices
0.48011275236689316	stgs
0.48011275236689316	bridges
0.48011275236689316	penh
0.48011275236689316	tickets
0.48011275236689316	unsurpassed
0.48011275236689316	retailer
0.48011275236689316	mps
0.48011275236689316	hollow
0.48011275236689316	skyscrapers
0.48011275236689316	thimphu
0.48011275236689316	myingyan
0.48011275236689316	walter
0.48011275236689316	devanadera
0.48011275236689316	kano
0.48011275236689316	leone
0.48011275236689316	haskoning
0.48011275236689316	habib
0.48011275236689316	phasing
0.48011275236689316	ajk
0.48011275236689316	section
0.48011275236689316	allegation
0.48011275236689316	counterproductive
0.48011275236689316	farruggio
0.48011275236689316	worksite
0.48011275236689316	hydraulics
0.48011275236689316	ceará
0.48011275236689316	settings
0.48011275236689316	axens
0.48011275236689316	kilometre
0.48011275236689316	gauge
0.48011275236689316	maturity
