sensitivity	vocabulary
0.1970775182132356	solar
0.13187330556377713	state
0.13097870772173734	city
0.1200242754242948	projects
0.11899935215953544	key
0.11551783635783688	local
0.10931204890121543	due
0.10905718820010661	generation
0.10734664006456031	part
0.10632926514344296	public
0.10254327316869104	utility
0.10098280216100396	pool
0.10073562318179118	financing
0.10057701340143267	said
0.10016991791524481	announced
0.09756501052736344	power
0.09696591318366761	financed
0.0967244380028587	renewable
0.09490637049912709	global
0.09484809047511136	leader
0.09460655212622288	homes
0.09451911361277357	miles
0.09434234717440071	sold
0.09431534801544719	develop
0.09378234282369353	canceling
0.0930518797715769	territory
0.09264833054246668	designed
0.09236639249633444	communities
0.09229453820641419	strict
0.09223259605362717	well
0.09188379332322323	operator
0.09184214276776893	national
0.0918257529215337	savings
0.09166232344020361	portfolio
0.09137431827963949	save
0.09130752302108273	result
0.09130745372021727	serving
0.09126831019855604	management
0.0911590464126732	nearby
0.09098942032598434	thermax
0.09098942032598434	po
0.09098942032598434	zambezi
0.09098942032598434	outweighed
0.09098942032598434	fire
0.09098942032598434	report
0.09098942032598434	taxes
0.09098942032598434	compassion
0.09098942032598434	interesting
0.09098942032598434	thunderstorm
0.09098942032598434	et
0.09098942032598434	ecuador
0.09098942032598434	kmp
0.09098942032598434	torn
0.09098942032598434	auspices
0.09098942032598434	semco
0.09098942032598434	structures
0.09098942032598434	turkana
0.09098942032598434	stealing
0.09098942032598434	oppose
0.09098942032598434	cargolux
0.09098942032598434	vst
0.09098942032598434	tc
0.09098942032598434	shell
0.09098942032598434	kajima
0.09098942032598434	denies
0.09098942032598434	button
0.09098942032598434	greco
0.09098942032598434	termination
0.09098942032598434	competes
0.09098942032598434	grants
0.09098942032598434	analysers
0.09098942032598434	configuration
0.09098942032598434	patil
0.09098942032598434	envisaged
0.09098942032598434	eia
0.09098942032598434	chiefly
0.09098942032598434	organizations
0.09098942032598434	matakong
0.09098942032598434	cant
0.09098942032598434	falling
0.09098942032598434	recoup
0.09098942032598434	debilitating
0.09098942032598434	jaganmohan
0.09098942032598434	chakaria
0.09098942032598434	sicomines
0.09098942032598434	cape
0.09098942032598434	kpcl
0.09098942032598434	tsu
0.09098942032598434	meals
0.09098942032598434	dells
0.09098942032598434	nee
0.09098942032598434	structured
0.09098942032598434	show
0.09098942032598434	anju
0.09098942032598434	spending
0.09098942032598434	cent
0.09098942032598434	jostle
0.09098942032598434	azima
0.09098942032598434	medog
0.09098942032598434	whether
0.09098942032598434	ritual
0.09098942032598434	chen
0.09098942032598434	endorsing
0.09098942032598434	conservator
0.09098942032598434	rahmon
0.09098942032598434	competent
0.09098942032598434	bolts
0.09098942032598434	greenpeace
0.09098942032598434	rank
0.09098942032598434	ajk
0.09098942032598434	authorise
0.09098942032598434	steadfast
0.09098942032598434	devastated
0.09098942032598434	caracas
0.09098942032598434	geronimo
0.09098942032598434	foreurs
0.09098942032598434	guests
0.09098942032598434	coffee
0.09098942032598434	renaissance
0.09098942032598434	conventional
0.09098942032598434	mizuho
